Date,Open,High,Low,Close
08/29/2016,"2,170.19","2,183.48","2,170.19","2,180.38"
08/26/2016,"2,175.10","2,187.94","2,160.39","2,169.04"
08/25/2016,"2,173.29","2,179.00","2,169.74","2,172.47"
08/24/2016,"2,185.09","2,186.66","2,171.25","2,175.44"
08/23/2016,"2,187.81","2,193.42","2,186.80","2,186.90"
08/22/2016,"2,181.58","2,185.15","2,175.96","2,182.64"
08/19/2016,"2,184.24","2,185.00","2,175.13","2,183.87"
08/18/2016,"2,181.90","2,187.03","2,180.46","2,187.02"
08/17/2016,"2,177.84","2,183.08","2,168.50","2,182.22"
08/16/2016,"2,186.24","2,186.24","2,178.14","2,178.15"
08/15/2016,"2,186.08","2,193.81","2,186.08","2,190.15"
08/12/2016,"2,183.74","2,186.28","2,179.42","2,184.05"
08/11/2016,"2,177.97","2,188.45","2,177.97","2,185.79"
08/10/2016,"2,182.81","2,183.41","2,172.00","2,175.49"
08/09/2016,"2,182.24","2,187.66","2,178.61","2,181.74"
08/08/2016,"2,183.76","2,185.44","2,177.85","2,180.89"
08/05/2016,"2,168.79","2,182.87","2,168.79","2,182.87"
08/04/2016,"2,163.51","2,168.19","2,159.07","2,164.25"
08/03/2016,"2,156.81","2,163.79","2,152.56","2,163.79"
08/02/2016,"2,169.94","2,170.20","2,147.58","2,157.03"
08/01/2016,"2,173.15","2,178.29","2,166.21","2,170.84"
07/29/2016,"2,168.83","2,177.09","2,163.49","2,173.60"
07/28/2016,"2,166.05","2,172.85","2,159.74","2,170.06"
07/27/2016,"2,169.81","2,174.98","2,159.07","2,166.58"
07/26/2016,"2,168.97","2,173.54","2,160.18","2,169.18"
07/25/2016,"2,173.71","2,173.71","2,161.95","2,168.48"
07/22/2016,"2,166.47","2,175.11","2,163.24","2,175.03"
07/21/2016,"2,172.91","2,174.56","2,159.75","2,165.17"
07/20/2016,"2,166.10","2,175.63","2,164.89","2,173.02"
07/19/2016,"2,163.79","2,164.63","2,159.01","2,163.78"
07/18/2016,"2,162.04","2,168.35","2,159.63","2,166.89"
07/15/2016,"2,165.13","2,169.05","2,155.79","2,161.74"
07/14/2016,"2,157.88","2,168.99","2,157.88","2,163.75"
07/13/2016,"2,153.81","2,156.45","2,146.21","2,152.43"
